UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-11-06 18:04:00,KASPER,Grunnstøting,70.26666499999999,30.983329999999995,,
2024-11-04 09:08:00,NYHEIM,Arbeidsulykke/Personulykke,68.98332999999998,16.849999999999998,0.0,2.0
2024-11-03 11:04:00,OLE BULL,Arbeidsulykke/Personulykke,59.666664999999995,5.466664999999999,0.0,1.0
2024-11-03 17:03:00,ØRLAND,Arbeidsulykke/Personulykke,62.14999999999999,5.933329999999999,0.0,1.0
2024-11-04 22:50:00,HYDRA,Annen ulykke,59.216665,6.1,,
2024-11-04 11:30:00,NORBRIS,Arbeidsulykke/Personulykke,57.08333,12.016664999999998,0.0,1.0
2024-11-04 12:30:00,BJØRG PAULINE,Arbeidsulykke/Personulykke,68.04999999999998,16.466665,0.0,1.0
2024-10-31 00:00:00,KVAM,Miljøskade/Forurensing,62.199999999999996,5.48333,,
2024-11-05 00:00:00,IDA  AMALIE,Miljøskade/Forurensing,69.55,19.966665,,
2024-11-04 16:40:00,BREIDTIND,Arbeidsulykke/Personulykke,71.28332999999999,21.95,0.0,1.0
2024-11-02 19:10:00,JULIE PAULINE,Arbeidsulykke/Personulykke,70.48333,29.933329999999998,0.0,1.0
2024-11-02 07:24:00,THERESE,Annen ulykke,59.416664999999995,10.416665,,
2024-11-01 16:00:00,STERK,Arbeidsulykke/Personulykke,69.98333,19.366664999999998,0.0,1.0
2024-11-01 20:20:00,RS 170 PRINSESSE RAGNHILD,Brann/Eksplosjon,59.391664999999996,10.486664999999999,,
2024-11-02 14:00:00,FRØY HILD,Arbeidsulykke/Personulykke,70.084665,20.08833,0.0,1.0
2024-10-31 07:00:00,LOFOTFANGST,Arbeidsulykke/Personulykke,71.21666499999999,27.899999999999995,0.0,1.0
2024-11-02 09:30:00,HALTBAKK BUNKER,Maskinhavari,67.586665,14.506665,,
2024-10-28 06:40:00,LOVUND EXPRESS,Arbeidsulykke/Personulykke,66.13333,12.966664999999999,0.0,1.0
2024-10-13 12:00:00,HYDRO FLOW,Annen ulykke,64.32166666666666,10.439816666666665,0.0,1.0
2024-10-29 18:14:00,HJELMELAND,Annen ulykke,65.9545,12.306999999999999,,
2024-05-03 00:01:00,HILLEFJORD,Brann/Eksplosjon,59.749615,5.466379999999999,,
2024-10-27 14:30:00,NYSTUMOEN,Arbeidsulykke/Personulykke,63.048829999999995,8.209999999999999,0.0,1.0
2024-10-25 23:30:00,ASKEPOTT,Arbeidsulykke/Personulykke,60.49999999999999,2.0,0.0,1.0
2024-10-29 13:15:00,MELKØY,"Kontaktskade, Kaier, Broer etc",68.23466499999999,14.571329999999998,,
2024-10-29 10:43:00,PEAK SKORPO,Arbeidsulykke/Personulykke,58.271499999999996,6.886329999999999,0.0,1.0
2024-10-29 17:00:00,POLYNYA,Maskinhavari,68.57499999999999,14.858331666666666,,
2024-10-29 16:20:00,TROMSØ,Grunnstøting,69.63983,18.971664999999998,,
2024-10-25 00:30:00,HYDRA,Annen ulykke,59.220164999999994,6.101999999999999,,
2024-10-28 12:05:00,FAMITA,Arbeidsulykke/Personulykke,60.46666499999999,5.73333,0.0,1.0
2024-09-20 08:48:00,VÅGAN,Grunnstøting,66.62421499999999,13.282729999999999,,
2024-10-28 14:00:00,KVALØY,Maskinhavari,65.17,11.8875,,
2024-10-25 14:30:00,COLOR FANTASY,Arbeidsulykke/Personulykke,54.36666499999999,10.18333,0.0,1.0
2024-10-26 09:00:00,LANGØY,Arbeidsulykke/Personulykke,74.13333,19.433329999999998,0.0,1.0
2024-10-24 16:25:00,RAMFORM VICTORY,Annen ulykke,-22.796664999999997,-43.129999999999995,,
2024-10-25 14:40:00,VESTLAND EXPLORER,Hardtværskade,70.02999999999999,20.988329999999998,,
2024-10-23 18:00:00,SENJA,Arbeidsulykke/Personulykke,73.166665,14.866664999999998,0.0,1.0
2024-10-25 13:00:00,NOVA VIKING,Brann/Eksplosjon,66.8,13.233329999999999,,
2024-10-19 09:40:00,Hagland Boss,Arbeidsulykke/Personulykke,58.017999999999994,7.50233,0.0,1.0
2024-10-22 10:00:00,LANGØY,Arbeidsulykke/Personulykke,70.25,17.18333,0.0,1.0
2024-10-19 15:00:00,VENDLA,Brann/Eksplosjon,60.62282999999999,5.04483,,
2024-10-24 12:00:00,BOOTES,Maskinhavari,69.68383166666666,19.018164999999996,,
2024-10-22 18:00:00,FOSNA POWER,"Kontaktskade, Kaier, Broer etc",58.24079999999999,6.592149999999999,,
2024-10-23 20:00:00,BONA SAFIR,Grunnstøting,62.099,5.109665,,
2024-10-23 16:00:00,Fritidsfartøy,Kantring,58.21733,6.723999999999999,1.0,0.0
2024-10-19 19:00:00,MULTI NORTH,Annen ulykke,65.851665,12.286665,,
2024-10-22 19:42:00,NYSTEIN,Grunnstøting,60.996665,4.922,,
2024-10-03 00:00:00,MSC EURIBIA,Arbeidsulykke/Personulykke,60.849999999999994,7.1,0.0,1.0
2024-10-20 14:00:00,FRØY MALIN,Arbeidsulykke/Personulykke,62.8835,8.150999999999998,0.0,1.0
2024-10-21 14:02:00,ARCTIC EAGLE,"Kontaktskade, Kaier, Broer etc",69.650165,18.95,,
2024-10-19 08:00:00,KLARA B,Arbeidsulykke/Personulykke,63.133329999999994,5.416665,0.0,1.0
2024-10-22 04:00:00,MERIKE,Grunnstøting,69.62499999999999,18.94333,,
2024-10-19 12:00:00,ÅRØY,Arbeidsulykke/Personulykke,69.97699999999999,23.328165,0.0,1.0
2024-10-19 10:00:00,SEIVEST,Arbeidsulykke/Personulykke,60.091165,5.2238299999999995,1.0,0.0
